image,shape,length,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y
0000.jpg,Rectangle,148.72792184352875,209,309,207,340,249,339,250,308
0000.jpg,Triangle,110.56854104995728,376,155,372,191,402,176,,
0001.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0001.jpg,Triangle,110.56854104995728,376,155,372,191,402,176,,
0002.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0002.jpg,Triangle,111.982754945755,377,155,373,192,403,176,,
0003.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0003.jpg,Triangle,111.154327750206,378,155,372,191,403,176,,
0004.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0004.jpg,Triangle,112.56854152679443,379,155,373,192,404,176,,
0005.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0005.jpg,Triangle,111.98275482654572,380,155,373,191,405,175,,
0006.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0006.jpg,Triangle,112.8111823797226,381,154,375,191,406,175,,
0007.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0007.jpg,Triangle,112.8111823797226,381,154,375,191,406,175,,
0008.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0008.jpg,Triangle,111.396968126297,383,155,375,191,407,175,,
0009.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0009.jpg,Triangle,111.9827550649643,384,155,376,191,408,175,,
0010.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0010.jpg,Triangle,111.39696872234344,384,154,377,190,409,175,,
0011.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0011.jpg,Triangle,113.05382215976715,386,154,378,191,410,175,,
0012.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0012.jpg,Triangle,113.6396096944809,387,154,379,191,411,175,,
0013.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0013.jpg,Triangle,113.6396096944809,387,154,379,191,411,175,,
0014.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0014.jpg,Triangle,113.63960945606232,388,154,380,191,412,175,,
0015.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
0015.jpg,Triangle,110.81118214130402,390,154,381,190,413,175,,
0016.jpg,Rectangle,150.1421353816986,209,309,206,340,249,339,250,308
