Index,Value
1,0.0
2,0.0
3,0.0
4,0.0
5,14.156291915647
6,14.15629191564579
7,20.02002002002059
8,20.02002002001888
9,31.654431032716328
10,20.02002002002059
11,20.02002002002059
12,22.38306283783446
13,31.654431032716868
14,31.654431032716868
15,30.030030030030026
16,20.02002002002059
17,22.383062837836746
18,22.38306283783522
19,40.04004004004118
20,40.040040040039464
21,51.04123637230092
22,30.030030030030026
23,30.030030030030026
24,31.654431032716868
25,41.27232858476068
26,51.04123637230059
27,50.05005005004891
28,40.04004004004118
29,31.654431032716328
30,30.030030030030026
31,50.05005005004891
32,51.04123637230059
33,51.04123637230059
34,31.654431032716328
35,40.040040040039464
36,41.27232858476068
37,60.88851381679889
38,60.06006006006005
39,60.06006006006005
40,40.04004004004118
41,40.040040040039464
42,41.27232858476068
43,60.88851381679889
44,50.050050050050615
45,51.04123637230059
46,31.654431032716328
47,40.040040040039464
48,40.040040040039464
49,60.06006006006005
50,60.888513816799744
51,60.0600600600592
52,40.04004004004032
53,31.654431032716328
54,30.030030030030026
55,50.05005005004976
56,50.050050050050615
57,50.050050050050615
58,30.030030030030026
59,40.040040040039464
60,30.030030030030026
61,50.05005005004976
62,41.2723285847615
63,40.040040040039464
64,20.02002002002059
65,30.030030030030026
66,31.654431032716328
67,40.04004004004032
68,31.654431032715515
69,30.030030030030026
70,22.383062837835986
71,22.383062837835986
72,14.1562919156476
73,22.383062837835986
74,20.02002002001888
75,20.02002002002059
76,10.01001001000944
77,10.010010010010294
78,10.010010010010294
79,10.010010010010294
80,10.01001001000944
81,14.156291915646394
82,14.15629191564579
83,14.156291915647
84,14.156291915647
85,14.156291915646394
86,22.38306283783522
87,10.010010010010294
88,10.010010010010294
89,10.01001001000944
90,20.020020020019732
91,22.383062837835986
92,14.15629191564579
93,14.1562919156476
94,10.010010010010294
95,30.030030030030026
96,20.020020020019732
97,40.040040040039464
98,30.03003003003088
99,40.04004004004032
100,20.020020020019732
101,30.030030030030026
102,30.030030030030026
103,40.04004004004032
104,40.040040040039464
105,40.040040040039464
106,30.030030030030026
107,22.383062837836746
108,31.654431032716328
109,50.050050050050615
110,50.05005005004891
111,51.04123637230059
112,30.030030030030026
113,40.04004004004032
114,41.2723285847615
115,60.06006006006005
116,72.87397286567045
117,50.050050050050615
118,31.654431032716868
119,28.31258383129158
120,40.04004004004118
121,60.88851381679889
122,60.88851381679889
123,60.06006006006005
124,41.27232858476068
125,41.27232858476068
126,40.04004004004118
127,60.88851381679889
128,60.88851381679889
129,50.05005005004891
130,31.654431032716328
131,30.030030030030026
132,41.27232858476233
133,60.88851381679918
134,60.06006006006005
135,50.05005005004891
136,30.030030030030026
137,30.030030030030026
138,40.04004004004118
139,51.04123637229925
140,41.27232858476233
141,41.27232858476068
142,30.030030030030026
143,30.030030030030026
144,30.030030030030026
145,40.040040040039464
146,40.04004004004118
147,41.27232858476068
148,31.654431032716328
149,41.27232858476109
150,22.383062837836746
