image,shape,length,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y
0000.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0000.jpg,Triangle,111.59797894954681,277,209,326,212,306,197,,
0001.jpg,Rectangle,127.31370830535889,418,325,421,349,459,348,456,324
0001.jpg,Triangle,113.0121922492981,326,212,304,196,277,209,,
0002.jpg,Rectangle,127.31370830535889,418,325,421,349,459,348,456,324
0002.jpg,Triangle,111.84061932563782,326,212,305,196,277,209,,
0003.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0003.jpg,Triangle,112.42640578746796,326,212,305,196,277,208,,
0004.jpg,Rectangle,127.31370830535889,418,325,421,349,459,348,456,324
0004.jpg,Triangle,115.25483274459839,326,212,303,195,276,208,,
0005.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0005.jpg,Triangle,109.5979790687561,325,211,306,196,277,207,,
0006.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0006.jpg,Triangle,110.66904640197754,325,211,305,195,277,207,,
0007.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0007.jpg,Triangle,110.66904640197754,325,211,305,195,277,207,,
0008.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0008.jpg,Triangle,114.42640614509583,276,206,326,211,306,195,,
0009.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0009.jpg,Triangle,111.59797883033752,324,210,307,195,275,206,,
0010.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0010.jpg,Triangle,115.25483334064484,325,210,305,193,275,205,,
0011.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0011.jpg,Triangle,109.01219260692596,324,209,305,193,277,204,,
0012.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0012.jpg,Triangle,112.66904675960541,325,208,305,192,276,204,,
0013.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
0013.jpg,Triangle,112.66904675960541,325,208,305,192,276,204,,
0014.jpg,Rectangle,126.72792184352875,418,325,421,349,459,348,455,324
