image,shape,length,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y
0000.jpg,Triangle,115.25483310222626,394,226,417,242,444,229,,
0000.jpg,Rectangle,102.48528122901917,276,192,274,209,308,208,308,191
0001.jpg,Triangle,115.25483310222626,394,226,417,242,444,229,,
0001.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0002.jpg,Triangle,115.84061968326569,394,225,416,242,444,229,,
0002.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0003.jpg,Triangle,110.42640590667725,395,226,416,242,443,230,,
0003.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0004.jpg,Triangle,115.84061932563782,394,227,415,242,445,230,,
0004.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0005.jpg,Triangle,111.2548326253891,395,226,416,243,443,231,,
0005.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0006.jpg,Triangle,113.8406194448471,396,227,417,244,445,231,,
0006.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0007.jpg,Triangle,113.8406194448471,396,227,417,244,445,231,,
0007.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0008.jpg,Triangle,115.25483322143555,395,227,416,244,445,232,,
0008.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0009.jpg,Triangle,118.08325982093811,395,228,418,245,446,232,,
0009.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0010.jpg,Triangle,116.08326005935669,395,228,418,246,445,233,,
0010.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0011.jpg,Triangle,115.25483286380768,396,229,417,246,446,234,,
0011.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0012.jpg,Triangle,116.0832599401474,396,229,418,247,446,234,,
0012.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0013.jpg,Triangle,116.0832599401474,396,229,418,247,446,234,,
0013.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0014.jpg,Triangle,113.25483310222626,397,230,417,247,446,235,,
0014.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0015.jpg,Triangle,115.49747335910797,396,231,417,248,446,236,,
0015.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0016.jpg,Triangle,112.91168737411499,397,231,418,249,445,237,,
0016.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0017.jpg,Triangle,116.66904699802399,396,232,417,249,447,237,,
0017.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0018.jpg,Triangle,116.08326029777527,398,233,417,250,448,238,,
0018.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0019.jpg,Triangle,116.08326029777527,398,233,417,250,448,238,,
0019.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0020.jpg,Triangle,118.08326017856598,397,233,417,251,448,239,,
0020.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0021.jpg,Triangle,112.08326053619385,399,235,418,252,447,240,,
0021.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0022.jpg,Triangle,118.91168713569641,397,235,418,253,448,241,,
0022.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0023.jpg,Triangle,114.91168713569641,397,235,418,254,446,242,,
0023.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0024.jpg,Triangle,118.32590091228485,397,236,418,255,448,242,,
0024.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0025.jpg,Triangle,118.32590091228485,397,236,418,255,448,242,,
0025.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0026.jpg,Triangle,116.91168761253357,398,237,418,256,448,244,,
0026.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0027.jpg,Triangle,118.32590115070343,397,237,417,256,448,244,,
0027.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0028.jpg,Triangle,120.32590103149414,397,238,418,257,449,245,,
0028.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0029.jpg,Triangle,120.32590126991272,397,239,418,258,449,246,,
0029.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0030.jpg,Triangle,120.32590186595917,397,240,418,259,449,247,,
0030.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0031.jpg,Triangle,120.32590186595917,397,240,418,259,449,247,,
0031.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0032.jpg,Triangle,118.91168797016144,398,241,418,260,449,248,,
0032.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0033.jpg,Triangle,120.32590126991272,397,242,418,261,449,249,,
0033.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0034.jpg,Triangle,120.32590126991272,397,243,418,262,449,250,,
0034.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0035.jpg,Triangle,120.32590186595917,397,244,418,263,449,251,,
0035.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0036.jpg,Triangle,120.9116883277893,397,245,418,264,449,252,,
0036.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0037.jpg,Triangle,120.9116883277893,397,245,418,264,449,252,,
0037.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0038.jpg,Triangle,120.91168761253357,397,246,418,265,449,253,,
0038.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0039.jpg,Triangle,121.74011421203613,397,247,419,267,449,254,,
0039.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0040.jpg,Triangle,118.32590055465698,397,248,418,267,448,255,,
0040.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0041.jpg,Triangle,117.154327750206,397,249,419,269,447,256,,
0041.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0042.jpg,Triangle,117.15432810783386,397,250,419,270,447,257,,
0042.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0043.jpg,Triangle,117.15432810783386,397,250,419,270,447,257,,
0043.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0044.jpg,Triangle,116.91168665885925,397,251,418,270,447,258,,
0044.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0045.jpg,Triangle,119.74011480808258,397,252,419,272,448,259,,
0045.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0046.jpg,Triangle,119.74011385440826,397,253,419,273,448,260,,
0046.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0047.jpg,Triangle,121.15432739257812,397,255,419,274,449,261,,
0047.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0048.jpg,Triangle,118.56854093074799,397,256,419,275,448,262,,
0048.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0049.jpg,Triangle,118.56854093074799,397,256,419,275,448,262,,
0049.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0050.jpg,Triangle,116.91168689727783,398,256,419,276,447,264,,
0050.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0051.jpg,Triangle,116.91168749332428,398,258,420,277,448,264,,
0051.jpg,Rectangle,104.72792184352875,276,192,275,210,308,209,308,191
0052.jpg,Triangle,116.08326029777527,398,259,419,277,448,264,,
0052.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0053.jpg,Triangle,118.32590115070343,397,260,419,278,448,266,,
0053.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0054.jpg,Triangle,120.32590079307556,397,260,419,279,448,266,,
0054.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0055.jpg,Triangle,120.32590079307556,397,260,419,279,448,266,,
0055.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0056.jpg,Triangle,115.49747347831726,398,262,419,280,448,267,,
0056.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0057.jpg,Triangle,118.32590067386627,397,263,419,281,448,267,,
0057.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0058.jpg,Triangle,120.32590079307556,397,264,420,282,449,268,,
0058.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0059.jpg,Triangle,119.49747359752655,397,265,419,282,449,269,,
0059.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0060.jpg,Triangle,120.08326017856598,397,265,419,283,449,269,,
0060.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0061.jpg,Triangle,120.08326017856598,397,265,419,283,449,269,,
0061.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0062.jpg,Triangle,121.1543276309967,396,266,419,284,448,270,,
0062.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0063.jpg,Triangle,121.74011433124542,396,267,420,285,449,270,,
0063.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0064.jpg,Triangle,120.0832599401474,396,267,419,285,448,271,,
0064.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0065.jpg,Triangle,123.49747335910797,396,267,419,286,449,271,,
0065.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0066.jpg,Triangle,120.32590055465698,395,269,420,287,447,272,,
0066.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0067.jpg,Triangle,120.32590055465698,395,269,420,287,447,272,,
0067.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0068.jpg,Triangle,121.49747347831726,395,270,420,287,448,272,,
0068.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0069.jpg,Triangle,122.91168713569641,395,269,420,288,448,272,,
0069.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0070.jpg,Triangle,120.32590079307556,395,271,420,288,447,273,,
0070.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0071.jpg,Triangle,122.91168701648712,394,270,420,289,447,273,,
0071.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0072.jpg,Triangle,122.66904652118683,394,270,419,288,447,273,,
0072.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0073.jpg,Triangle,122.66904652118683,394,270,419,288,447,273,,
0073.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0074.jpg,Triangle,122.91168713569641,394,271,420,289,447,273,,
0074.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0075.jpg,Triangle,124.08326017856598,393,271,419,289,447,273,,
0075.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0076.jpg,Triangle,121.49747347831726,393,272,419,289,446,273,,
0076.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0077.jpg,Triangle,121.25483298301697,393,272,419,289,446,273,,
0077.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0078.jpg,Triangle,121.25483286380768,393,272,419,289,446,273,,
0078.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0079.jpg,Triangle,121.25483286380768,393,272,419,289,446,273,,
0079.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0080.jpg,Triangle,122.66904652118683,392,273,422,289,446,272,,
0080.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0081.jpg,Triangle,124.08326017856598,446,271,392,273,421,289,,
0081.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0082.jpg,Triangle,121.49747335910797,445,272,392,273,421,289,,
0082.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0083.jpg,Triangle,122.08326005935669,392,273,421,289,445,271,,
0083.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0084.jpg,Triangle,121.49747347831726,445,271,392,273,422,288,,
0084.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0085.jpg,Triangle,121.49747347831726,445,271,392,273,422,288,,
0085.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0086.jpg,Triangle,123.25483274459839,445,270,391,273,423,287,,
0086.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0087.jpg,Triangle,122.0832599401474,391,272,421,288,444,270,,
0087.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0088.jpg,Triangle,120.08325982093811,442,270,390,272,422,287,,
0088.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0089.jpg,Triangle,117.49747371673584,442,270,391,272,420,287,,
0089.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0090.jpg,Triangle,118.08326029777527,441,269,390,271,422,286,,
0090.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0091.jpg,Triangle,118.08326029777527,441,269,390,271,422,286,,
0091.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0092.jpg,Triangle,115.49747431278229,440,269,391,271,421,286,,
0092.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0093.jpg,Triangle,118.08326041698456,441,268,390,271,421,285,,
0093.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0094.jpg,Triangle,115.49747359752655,441,268,391,270,422,284,,
0094.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0095.jpg,Triangle,117.49747407436371,440,267,390,270,421,284,,
0095.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0096.jpg,Triangle,122.08326029777527,440,265,388,269,420,283,,
0096.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0097.jpg,Triangle,122.08326029777527,440,265,388,269,420,283,,
0097.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0098.jpg,Triangle,117.49747407436371,440,265,390,269,421,282,,
0098.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0099.jpg,Triangle,118.91168689727783,440,265,389,268,420,282,,
0099.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0100.jpg,Triangle,116.6690468788147,439,264,389,267,422,280,,
0100.jpg,Rectangle,103.89949476718903,276,192,275,210,308,209,308,191
0101.jpg,Triangle,113.49747359752655,439,264,390,267,422,279,,
